1760825269.546068 server started (89157): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760825269.546122 on Darwin 25.0.0 Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:26 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T6041
1760825269.546132 using libevent 2.1.12-stable select
1760825269.546144 using utf8proc 2.11.0
1760825269.546151 using ncurses 6.5 20240427
1760825269.565940 args_parse_flag_argument: -x = M
1760825269.565942 args_parse_flags: next -yM
1760825269.565944 args_parse_flag_argument: -y = M
1760825269.565946 args_parse_flags: next -T
1760825269.565949 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1760825269.565951 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1760825269.565953 args_parse: flags end at 6 of 62
1760825269.565955 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1760825269.565959 args_parse: 7 = < (type STRING)
1760825269.565963 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1760825269.565966 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1760825269.565968 args_parse: 10 = > (type STRING)
1760825269.565972 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1760825269.565974 args_parse: 12 =  (type STRING)
1760825269.565977 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760825269.565979 args_parse: 14 = C-r (type STRING)
1760825269.565987 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" (type COMMANDS)
1760825269.565989 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760825269.565992 args_parse: 17 = C-y (type STRING)
1760825269.565996 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1760825269.565999 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1760825269.566001 args_parse: 20 = c (type STRING)
1760825269.566005 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1760825269.566007 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1760825269.566009 args_parse: 23 = l (type STRING)
1760825269.566013 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1760825269.566015 args_parse: 25 =  (type STRING)
1760825269.566018 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1760825269.566020 args_parse: 27 = C-h (type STRING)
1760825269.566024 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1760825269.566027 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1760825269.566029 args_parse: 30 = h (type STRING)
1760825269.566033 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1760825269.566035 args_parse: 32 =  (type STRING)
1760825269.566037 args_parse: 33 = Horizontal Split (type STRING)
1760825269.566040 args_parse: 34 = h (type STRING)
1760825269.566042 args_parse: 35 = split-window -h (type COMMANDS)
1760825269.566045 args_parse: 36 = Vertical Split (type STRING)
1760825269.566047 args_parse: 37 = v (type STRING)
1760825269.566050 args_parse: 38 = split-window -v (type COMMANDS)
1760825269.566052 args_parse: 39 =  (type STRING)
1760825269.566055 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1760825269.566057 args_parse: 41 = u (type STRING)
1760825269.566062 args_parse: 42 = swap-pane -U (type COMMANDS)
1760825269.566064 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1760825269.566067 args_parse: 44 = d (type STRING)
1760825269.566070 args_parse: 45 = swap-pane -D (type COMMANDS)
1760825269.566072 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1760825269.566075 args_parse: 47 = s (type STRING)
1760825269.566077 args_parse: 48 = swap-pane (type COMMANDS)
1760825269.566079 args_parse: 49 =  (type STRING)
1760825269.566082 args_parse: 50 = Kill (type STRING)
1760825269.566084 args_parse: 51 = X (type STRING)
1760825269.566086 args_parse: 52 = kill-pane (type COMMANDS)
1760825269.566089 args_parse: 53 = Respawn (type STRING)
1760825269.566091 args_parse: 54 = R (type STRING)
1760825269.566094 args_parse: 55 = respawn-pane -k (type COMMANDS)
1760825269.566096 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1760825269.566098 args_parse: 57 = m (type STRING)
1760825269.566101 args_parse: 58 = select-pane -m (type COMMANDS)
1760825269.566103 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1760825269.566106 args_parse: 60 = z (type STRING)
1760825269.566108 args_parse: 61 = resize-pane -Z (type COMMANDS)
1760825269.566166 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1760825269.566168 args_parse_flags: next -Ft=
1760825269.566170 args_parse_flags: -F
1760825269.566173 args_parse_flag_argument: -t = =
1760825269.566175 args_parse_flags: next #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1760825269.566178 args_parse: flags end at 2 of 5
1760825269.566180 args_parse: 2 = #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}} (type STRING)
1760825269.566184 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1760825269.566237 args_parse: 4 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1760825269.566299 cmd_parse_build_commands: if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1760825269.566301 args_parse_flags: next -n
1760825269.566304 args_parse_flags: -n
1760825269.566306 args_parse_flags: next MouseDown3Pane
1760825269.566308 args_parse: flags end at 2 of 4
1760825269.566310 args_parse: 2 = MouseDown3Pane (type STRING)
1760825269.566368 args_parse: 3 = if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } (type COMMANDS)
1760825269.566431 cmd_parse_build_commands: bind-key -n MouseDown3Pane { if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } }
1760825269.566439 cmdq_get_command: [bind-key/0x95d859b00] group 1134
1760825269.566441 cmdq_append <global>: [bind-key/0x95d859b00]
1760825269.566444 yylex_token: end at WS
1760825269.566446 yylex_token: bind
1760825269.566448 yylex_token: end at WS
1760825269.566450 yylex_token: -n
1760825269.566453 yylex_token: end at WS
1760825269.566455 yylex_token: M-MouseDown3Pane
1760825269.566457 yylex_token: end at WS
1760825269.566459 yylex_token: display-menu
1760825269.566462 yylex_token: end at WS
1760825269.566464 yylex_token: -t=
1760825269.566466 yylex_token: end at WS
1760825269.566468 yylex_token: -xM
1760825269.566470 yylex_token: end at WS
1760825269.566472 yylex_token: -yM
1760825269.566474 yylex_token: end at WS
1760825269.566476 yylex_token: -T
1760825269.566479 yylex_token: end at WS
1760825269.566481 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1760825269.566485 yylex_token: end at WS
1760825269.566487 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1760825269.566489 yylex_token: end at WS
1760825269.566491 yylex_token: <
1760825269.566493 yylex_token: end at WS
1760825269.566495 yylex_token: send
1760825269.566497 yylex_token: end at WS
1760825269.566499 yylex_token: -X
1760825269.566501 yylex_token: end at }
1760825269.566503 yylex_token: history-top
1760825269.566507 yylex_token: end at WS
1760825269.566509 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1760825269.566511 yylex_token: end at WS
1760825269.566513 yylex_token: >
1760825269.566515 yylex_token: end at WS
1760825269.566517 yylex_token: send
1760825269.566519 yylex_token: end at WS
1760825269.566521 yylex_token: -X
1760825269.566524 yylex_token: end at }
1760825269.566526 yylex_token: history-bottom
1760825269.566528 yylex_token: end at WS
1760825269.566530 yylex_token: 
1760825269.566534 yylex_token: end at WS
1760825269.566536 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1760825269.566538 yylex_token: end at WS
1760825269.566540 yylex_token: C-r
1760825269.566542 yylex_token: end at WS
1760825269.566544 yylex_token: if
1760825269.566546 yylex_token: end at WS
1760825269.566548 yylex_token: -F
1760825269.566551 yylex_token: end at WS
1760825269.566556 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1760825269.566559 yylex_token: end at ;
1760825269.566561 yylex_token: copy-mode -t=
1760825269.566563 yylex_token: end at WS
1760825269.566565 yylex_token: send
1760825269.566567 yylex_token: end at WS
1760825269.566569 yylex_token: -Xt=
1760825269.566571 yylex_token: end at WS
1760825269.566574 yylex_token: search-backward
1760825269.566576 yylex_token: end at }
1760825269.566578 yylex_token: #{q:mouse_word}
1760825269.566582 yylex_token: end at WS
1760825269.566584 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1760825269.566587 yylex_token: end at WS
1760825269.566589 yylex_token: C-y
1760825269.566591 yylex_token: end at WS
1760825269.566593 yylex_token: copy-mode
1760825269.566595 yylex_token: end at ;
1760825269.566597 yylex_token: -q
1760825269.566599 yylex_token: end at WS
1760825269.566601 yylex_token: send-keys
1760825269.566603 yylex_token: end at WS
1760825269.566605 yylex_token: -l
1760825269.566607 yylex_token: end at WS
1760825269.566609 yylex_token: --
1760825269.566612 yylex_token: end at }
1760825269.566614 yylex_token: #{q:mouse_word}
1760825269.566618 yylex_token: end at WS
1760825269.566620 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1760825269.566622 yylex_token: end at WS
1760825269.566624 yylex_token: c
1760825269.566626 yylex_token: end at WS
1760825269.566628 yylex_token: copy-mode
1760825269.566630 yylex_token: end at ;
1760825269.566632 yylex_token: -q
1760825269.566635 yylex_token: end at WS
1760825269.566637 yylex_token: set-buffer
1760825269.566639 yylex_token: end at WS
1760825269.566641 yylex_token: --
1760825269.566643 yylex_token: end at }
1760825269.566645 yylex_token: #{q:mouse_word}
1760825269.566648 yylex_token: end at WS
1760825269.566652 yylex_token: #{?mouse_line,Copy Line,}
1760825269.566654 yylex_token: end at WS
1760825269.566656 yylex_token: l
1760825269.566659 yylex_token: end at WS
1760825269.566660 yylex_token: copy-mode
1760825269.566662 yylex_token: end at ;
1760825269.566664 yylex_token: -q
1760825269.566667 yylex_token: end at WS
1760825269.566669 yylex_token: set-buffer
1760825269.566671 yylex_token: end at WS
1760825269.566673 yylex_token: --
1760825269.566676 yylex_token: end at }
1760825269.566678 yylex_token: #{q:mouse_line}
1760825269.566680 yylex_token: end at WS
1760825269.566682 yylex_token: 
1760825269.566686 yylex_token: end at WS
1760825269.566688 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1760825269.566690 yylex_token: end at WS
1760825269.566692 yylex_token: C-h
1760825269.566695 yylex_token: end at WS
1760825269.566696 yylex_token: copy-mode
1760825269.566699 yylex_token: end at ;
1760825269.566701 yylex_token: -q
1760825269.566703 yylex_token: end at WS
1760825269.566705 yylex_token: send-keys
1760825269.566707 yylex_token: end at WS
1760825269.566709 yylex_token: -l
1760825269.566711 yylex_token: end at WS
1760825269.566713 yylex_token: --
1760825269.566716 yylex_token: end at }
1760825269.566718 yylex_token: #{q:mouse_hyperlink}
1760825269.566722 yylex_token: end at WS
1760825269.566725 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1760825269.566727 yylex_token: end at WS
1760825269.566729 yylex_token: h
1760825269.566731 yylex_token: end at WS
1760825269.566733 yylex_token: copy-mode
1760825269.566735 yylex_token: end at ;
1760825269.566737 yylex_token: -q
1760825269.566739 yylex_token: end at WS
1760825269.566741 yylex_token: set-buffer
1760825269.566743 yylex_token: end at WS
1760825269.566745 yylex_token: --
1760825269.566748 yylex_token: end at }
1760825269.566750 yylex_token: #{q:mouse_hyperlink}
1760825269.566753 yylex_token: end at WS
1760825269.566755 yylex_token: 
1760825269.566757 yylex_token: end at WS
1760825269.566759 yylex_token: Horizontal Split
1760825269.566761 yylex_token: end at WS
1760825269.566763 yylex_token: h
1760825269.566766 yylex_token: end at WS
1760825269.566768 yylex_token: split-window
1760825269.566770 yylex_token: end at }
1760825269.566772 yylex_token: -h
1760825269.566777 yylex_token: end at WS
1760825269.566779 yylex_token: Vertical Split
1760825269.566782 yylex_token: end at WS
1760825269.566783 yylex_token: v
1760825269.566786 yylex_token: end at WS
1760825269.566788 yylex_token: split-window
1760825269.566790 yylex_token: end at }
1760825269.566792 yylex_token: -v
1760825269.566794 yylex_token: end at WS
1760825269.566796 yylex_token: 
1760825269.566799 yylex_token: end at WS
1760825269.566801 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1760825269.566803 yylex_token: end at WS
1760825269.566805 yylex_token: u
1760825269.566807 yylex_token: end at WS
1760825269.566809 yylex_token: swap-pane
1760825269.566811 yylex_token: end at }
1760825269.566813 yylex_token: -U
1760825269.566816 yylex_token: end at WS
1760825269.566819 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1760825269.566821 yylex_token: end at WS
1760825269.566822 yylex_token: d
1760825269.566825 yylex_token: end at WS
1760825269.566827 yylex_token: swap-pane
1760825269.566829 yylex_token: end at }
1760825269.566831 yylex_token: -D
1760825269.566834 yylex_token: end at WS
1760825269.566836 yylex_token: #{?pane_marked_set,,-}Swap Marked
1760825269.566838 yylex_token: end at WS
1760825269.566840 yylex_token: s
1760825269.566842 yylex_token: end at }
1760825269.566844 yylex_token: swap-pane
1760825269.566846 yylex_token: end at WS
1760825269.566848 yylex_token: 
1760825269.566850 yylex_token: end at WS
1760825269.566852 yylex_token: Kill
1760825269.566854 yylex_token: end at WS
1760825269.566856 yylex_token: X
1760825269.566858 yylex_token: end at }
1760825269.566860 yylex_token: kill-pane
1760825269.566862 yylex_token: end at WS
1760825269.566864 yylex_token: Respawn
1760825269.566866 yylex_token: end at WS
1760825269.566868 yylex_token: R
1760825269.566871 yylex_token: end at WS
1760825269.566873 yylex_token: respawn-pane
1760825269.566875 yylex_token: end at }
1760825269.566877 yylex_token: -k
1760825269.566880 yylex_token: end at WS
1760825269.566882 yylex_token: #{?pane_marked,Unmark,Mark}
1760825269.566884 yylex_token: end at WS
1760825269.566885 yylex_token: m
1760825269.566888 yylex_token: end at WS
1760825269.566890 yylex_token: select-pane
1760825269.566892 yylex_token: end at }
1760825269.566894 yylex_token: -m
1760825269.566898 yylex_token: end at WS
1760825269.566900 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1760825269.566902 yylex_token: end at WS
1760825269.566904 yylex_token: z
1760825269.566906 yylex_token: end at WS
1760825269.566908 yylex_token: resize-pane
1760825269.566910 yylex_token: end at }
1760825269.566912 yylex_token: -Z
1760825269.566915 cmd_parse_build_commands 0:0: bind
1760825269.566917 cmd_parse_build_commands 0:1: -n
1760825269.566920 cmd_parse_build_commands 0:2: M-MouseDown3Pane
1760825269.566922 cmd_parse_build_commands 0:3 0:0: display-menu
1760825269.566924 cmd_parse_build_commands 0:3 0:1: -t=
1760825269.566926 cmd_parse_build_commands 0:3 0:2: -xM
1760825269.566928 cmd_parse_build_commands 0:3 0:3: -yM
1760825269.566930 cmd_parse_build_commands 0:3 0:4: -T
1760825269.566933 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{pane_index} (#{pane_id})
1760825269.566935 cmd_parse_build_commands 0:3 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1760825269.566937 cmd_parse_build_commands 0:3 0:7: <
1760825269.566939 cmd_parse_build_commands 0:3 0:8 0:0: send
1760825269.566941 cmd_parse_build_commands 0:3 0:8 0:1: -X
1760825269.566944 cmd_parse_build_commands 0:3 0:8 0:2: history-top
1760825269.566946 cmd_parse_build_commands 0:3 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1760825269.566948 cmd_parse_build_commands 0:3 0:10: >
1760825269.566950 cmd_parse_build_commands 0:3 0:11 0:0: send
1760825269.566953 cmd_parse_build_commands 0:3 0:11 0:1: -X
1760825269.566955 cmd_parse_build_commands 0:3 0:11 0:2: history-bottom
1760825269.566957 cmd_parse_build_commands 0:3 0:12: 
1760825269.566959 cmd_parse_build_commands 0:3 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1760825269.566964 cmd_parse_build_commands 0:3 0:14: C-r
1760825269.566966 cmd_parse_build_commands 0:3 0:15 0:0: if
1760825269.566968 cmd_parse_build_commands 0:3 0:15 0:1: -F
1760825269.566970 cmd_parse_build_commands 0:3 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1760825269.566972 cmd_parse_build_commands 0:3 0:15 0:3: copy-mode -t=
1760825269.566975 cmd_parse_build_commands 0:3 0:15 1:0: send
1760825269.566977 cmd_parse_build_commands 0:3 0:15 1:1: -Xt=
1760825269.566979 cmd_parse_build_commands 0:3 0:15 1:2: search-backward
1760825269.566981 cmd_parse_build_commands 0:3 0:15 1:3: #{q:mouse_word}
1760825269.566984 cmd_parse_build_commands 0:3 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1760825269.566986 cmd_parse_build_commands 0:3 0:17: C-y
1760825269.566988 cmd_parse_build_commands 0:3 0:18 0:0: copy-mode
1760825269.566990 cmd_parse_build_commands 0:3 0:18 0:1: -q
1760825269.566992 cmd_parse_build_commands 0:3 0:18 1:0: send-keys
1760825269.566994 cmd_parse_build_commands 0:3 0:18 1:1: -l
1760825269.566997 cmd_parse_build_commands 0:3 0:18 1:2: --
1760825269.566999 cmd_parse_build_commands 0:3 0:18 1:3: #{q:mouse_word}
1760825269.567001 cmd_parse_build_commands 0:3 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1760825269.567003 cmd_parse_build_commands 0:3 0:20: c
1760825269.567005 cmd_parse_build_commands 0:3 0:21 0:0: copy-mode
1760825269.567007 cmd_parse_build_commands 0:3 0:21 0:1: -q
1760825269.567010 cmd_parse_build_commands 0:3 0:21 1:0: set-buffer
1760825269.567012 cmd_parse_build_commands 0:3 0:21 1:1: --
1760825269.567014 cmd_parse_build_commands 0:3 0:21 1:2: #{q:mouse_word}
1760825269.567016 cmd_parse_build_commands 0:3 0:22: #{?mouse_line,Copy Line,}
1760825269.567018 cmd_parse_build_commands 0:3 0:23: l
1760825269.567020 cmd_parse_build_commands 0:3 0:24 0:0: copy-mode
1760825269.567022 cmd_parse_build_commands 0:3 0:24 0:1: -q
1760825269.567024 cmd_parse_build_commands 0:3 0:24 1:0: set-buffer
1760825269.567026 cmd_parse_build_commands 0:3 0:24 1:1: --
1760825269.567028 cmd_parse_build_commands 0:3 0:24 1:2: #{q:mouse_line}
